Tasks, Run, T-init, T-total
1, 1, 15.492756, 57.156533
1, 2, 15.294651, 57.100022
1, 3, 15.489440, 57.169350
10, 1, 3.527282, 9.251610
10, 2, 3.400257, 9.207736
10, 3, 3.686739, 8.824196
20, 1, 2.548000, 5.453706
20, 2, 2.385491, 5.983566
20, 3, 2.555733, 5.421628
30, 1, 2.042791, 4.279116
30, 2, 2.053571, 4.180417
30, 3, 2.030014, 4.093111
40, 1, 1.813343, 3.586433
40, 2, 1.813303, 3.541130
40, 3, 1.822076, 3.542959
50, 1, 1.637414, 3.217245
50, 2, 1.649856, 3.104354
50, 3, 1.663254, 2.969860
60, 1, 1.493819, 2.763014
60, 2, 1.496793, 2.956282
60, 3, 1.527010, 2.766248
64, 1, 1.470355, 2.753590
64, 2, 1.456973, 2.886643
64, 3, 1.491169, 2.544652
